Algorithm,Image_File,Width,Height,Pixel_Count,Time_ms,Throughput_MPS,Status
Sobel,MandelBulbX2.png,1430,1430,2044900,30.967046,66.034713,PASS
Canny,MandelBulbX2.png,1430,1430,2044900,162.219372,12.605769,FAIL
Sobel,mandelbulb.png,1430,1430,2044900,25.278213,80.895750,PASS
Canny,mandelbulb.png,1430,1430,2044900,190.665732,10.725053,PASS
Sobel,MandelBulbX1.png,1430,1430,2044900,27.988526,73.062083,PASS
Canny,MandelBulbX1.png,1430,1430,2044900,217.162463,9.416452,FAIL
Sobel,DoorWayX1.png,1920,1080,2073600,26.721336,77.600910,PASS
Canny,DoorWayX1.png,1920,1080,2073600,167.823573,12.355833,PASS
Sobel,17.png,1920,1080,2073600,29.821494,69.533740,PASS
Canny,17.png,1920,1080,2073600,239.095628,8.672681,PASS
Sobel,watersuncomposite.png,1920,1080,2073600,28.697357,72.257525,PASS
Canny,watersuncomposite.png,1920,1080,2073600,176.327386,11.759943,PASS
Sobel,4.png,1920,1080,2073600,28.630507,72.426241,PASS
Canny,4.png,1920,1080,2073600,186.492238,11.118961,PASS
Sobel,Jupyter3.png,1920,1080,2073600,28.338583,73.172325,PASS
Canny,Jupyter3.png,1920,1080,2073600,199.599716,10.388792,PASS
Sobel,blackhole3composite.png,1920,1080,2073600,30.542824,67.891561,PASS
Canny,blackhole3composite.png,1920,1080,2073600,325.398403,6.372496,PASS
Sobel,2.png,1920,1080,2073600,42.864603,48.375579,PASS
Canny,2.png,1920,1080,2073600,221.722377,9.352236,PASS
Sobel,15.png,1920,1080,2073600,31.167592,66.530645,PASS
Canny,15.png,1920,1080,2073600,218.921205,9.471901,PASS
Sobel,nebula2.png,1920,1080,2073600,29.954771,69.224365,PASS
Canny,nebula2.png,1920,1080,2073600,212.563966,9.755181,FAIL
Sobel,blackhole2.png,1920,1080,2073600,32.106369,64.585316,PASS
Canny,blackhole2.png,1920,1080,2073600,162.937501,12.726352,PASS
Sobel,bugattinsnow.png,1920,1080,2073600,27.450751,75.538917,PASS
Canny,bugattinsnow.png,1920,1080,2073600,192.833156,10.753337,PASS
Sobel,anotherblackhole.png,1920,1080,2073600,29.566710,70.132930,PASS
Canny,anotherblackhole.png,1920,1080,2073600,198.703507,10.435649,PASS
Sobel,skyscrapercomposited2.png,1080,1920,2073600,77.126616,26.885660,PASS
Canny,skyscrapercomposited2.png,1080,1920,2073600,313.025431,6.624382,PASS
Sobel,neb1.png,1920,1080,2073600,42.340956,48.973859,PASS
Canny,neb1.png,1920,1080,2073600,244.680769,8.474716,PASS
Sobel,DoorWayX2.png,1920,1080,2073600,38.361618,54.054029,PASS
Canny,DoorWayX2.png,1920,1080,2073600,227.992532,9.095035,PASS
Sobel,AlienLandscapeX.png,1920,1080,2073600,35.166341,58.965475,PASS
Canny,AlienLandscapeX.png,1920,1080,2073600,290.742651,7.132081,PASS
Sobel,HexRing1.png,1080,1920,2073600,31.451344,65.930410,PASS
Canny,HexRing1.png,1080,1920,2073600,168.679345,12.293147,PASS
Sobel,Jupyter2.png,1920,1080,2073600,26.508171,78.224937,PASS
Canny,Jupyter2.png,1920,1080,2073600,174.092877,11.910884,PASS
Sobel,neb2.png,1920,1080,2073600,28.013193,74.022265,PASS
Canny,neb2.png,1920,1080,2073600,243.157448,8.527808,PASS
Sobel,bugattinew2.png,1920,1080,2073600,34.074221,60.855390,PASS
Canny,bugattinew2.png,1920,1080,2073600,194.521411,10.660009,FAIL
Sobel,exhibit3.png,1920,1080,2073600,29.177041,71.069578,PASS
Canny,exhibit3.png,1920,1080,2073600,166.912440,12.423280,FAIL
Sobel,lambo.png,1920,1080,2073600,31.329666,66.186470,PASS
Canny,lambo.png,1920,1080,2073600,173.801318,11.930865,PASS
Sobel,watersun.png,1920,1080,2073600,26.479796,78.308760,PASS
Canny,watersun.png,1920,1080,2073600,191.687674,10.817597,PASS
Sobel,9.png,1920,1080,2073600,25.767175,80.474480,PASS
Canny,9.png,1920,1080,2073600,197.148434,10.517963,PASS
Sobel,mandelbulb3.png,1920,1080,2073600,29.885386,69.385083,PASS
Canny,mandelbulb3.png,1920,1080,2073600,279.752112,7.412276,PASS
Sobel,untitled.png,1920,1080,2073600,40.268716,51.494068,PASS
Canny,untitled.png,1920,1080,2073600,221.912698,9.344215,FAIL
Sobel,Curve 2nbg.png,1920,1080,2073600,46.617458,44.481190,PASS
Canny,Curve 2nbg.png,1920,1080,2073600,268.302508,7.728590,PASS
Sobel,planetxx.png,1920,1080,2073600,42.336094,48.979483,PASS
Canny,planetxx.png,1920,1080,2073600,203.332938,10.198053,PASS
Sobel,Wormholetop.png,1920,1080,2073600,29.449996,70.410875,PASS
Canny,Wormholetop.png,1920,1080,2073600,199.820526,10.377312,FAIL
Sobel,deathlyhallows2.png,1920,1080,2073600,29.226725,70.948764,PASS
Canny,deathlyhallows2.png,1920,1080,2073600,148.548013,13.959123,PASS
Sobel,planet.png,1920,1080,2073600,35.150107,58.992708,PASS
Canny,planet.png,1920,1080,2073600,215.344102,9.629240,PASS
Sobel,chess.png,1920,1080,2073600,30.221803,68.612716,PASS
Canny,chess.png,1920,1080,2073600,181.462604,11.427148,PASS
Sobel,8.png,1920,1080,2073600,25.825688,80.292149,PASS
Canny,8.png,1920,1080,2073600,188.921856,10.975967,PASS
Sobel,setup.png,1920,1080,2073600,30.777199,67.374552,PASS
Canny,setup.png,1920,1080,2073600,210.314256,9.859531,PASS
Sobel,neb3.png,1920,1080,2073600,35.680583,58.115642,PASS
Canny,neb3.png,1920,1080,2073600,261.730533,7.922652,PASS
Sobel,hexagons.png,1920,1080,2073600,31.864571,65.075409,PASS
Canny,hexagons.png,1920,1080,2073600,202.638585,10.232997,PASS
Sobel,LOGO1.png,1920,1080,2073600,29.857516,69.449850,PASS
Canny,LOGO1.png,1920,1080,2073600,187.541857,11.056732,PASS
Sobel,11.png,1920,1080,2073600,27.154343,76.363475,PASS
Canny,11.png,1920,1080,2073600,249.293445,8.317908,PASS
Sobel,neb4.png,1920,1080,2073600,36.976936,56.078200,PASS
Canny,neb4.png,1920,1080,2073600,277.982569,7.459461,PASS
Sobel,mossydirt.png,1920,1080,2073600,34.177057,60.672281,PASS
Canny,mossydirt.png,1920,1080,2073600,170.545183,12.158655,PASS
Sobel,nebula.png,1920,1080,2073600,27.231866,76.146086,PASS
Canny,nebula.png,1920,1080,2073600,177.234358,11.699763,FAIL
Sobel,16.png,1920,1080,2073600,30.073836,68.950300,PASS
Canny,16.png,1920,1080,2073600,189.624656,10.935287,PASS
Sobel,nebulacomposite.png,1920,1080,2073600,27.785212,74.629627,PASS
Canny,nebulacomposite.png,1920,1080,2073600,148.605479,13.953725,FAIL
Sobel,Mirrors3.png,1920,1080,2073600,25.739868,80.559854,PASS
Canny,Mirrors3.png,1920,1080,2073600,167.737305,12.362187,PASS
Sobel,blackholexf.png,1920,1080,2073600,25.370465,81.732834,PASS
Canny,blackholexf.png,1920,1080,2073600,223.263687,9.287672,PASS
Sobel,aeroplanewindow.png,1080,1920,2073600,38.032360,54.521991,PASS
Canny,aeroplanewindow.png,1080,1920,2073600,264.927062,7.827060,PASS
Sobel,mandelbulb4.png,1920,1080,2073600,41.249037,50.270264,PASS
Canny,mandelbulb4.png,1920,1080,2073600,201.755338,10.277795,PASS
Sobel,watersuncomposite3.png,1920,1080,2073600,33.167706,62.518644,PASS
Canny,watersuncomposite3.png,1920,1080,2073600,178.883981,11.591871,PASS
Sobel,6.png,1920,1080,2073600,29.989755,69.143613,PASS
Canny,6.png,1920,1080,2073600,205.960201,10.067965,PASS
Sobel,Planetx.png,1920,1080,2073600,40.976127,50.605075,PASS
Canny,Planetx.png,1920,1080,2073600,396.084547,5.235246,PASS
Sobel,10.png,1920,1080,2073600,50.755771,40.854468,PASS
Canny,10.png,1920,1080,2073600,259.642295,7.986372,PASS
Sobel,1.png,1920,1080,2073600,42.578244,48.700928,PASS
Canny,1.png,1920,1080,2073600,319.266111,6.494895,PASS
Sobel,sand.png,1920,1080,2073600,49.360078,42.009658,PASS
Canny,sand.png,1920,1080,2073600,213.620859,9.706917,PASS
Sobel,glaciercomposite.png,1920,1080,2073600,30.461294,68.073274,PASS
Canny,glaciercomposite.png,1920,1080,2073600,225.597145,9.191606,PASS
Sobel,beach1.png,1920,1080,2073600,34.114212,60.784051,PASS
Canny,beach1.png,1920,1080,2073600,215.935261,9.602878,PASS
Sobel,Gold1.png,1920,1080,2073600,40.802959,50.819844,PASS
Canny,Gold1.png,1920,1080,2073600,263.153318,7.879817,PASS
Sobel,Mirrors4.png,1920,1080,2073600,32.165494,64.466599,PASS
Canny,Mirrors4.png,1920,1080,2073600,223.319403,9.285355,PASS
Sobel,robotx.png,1920,1080,2073600,41.391392,50.097373,PASS
Canny,robotx.png,1920,1080,2073600,223.694160,9.269799,PASS
Sobel,scifitexture1.png,1920,1080,2073600,42.819477,48.426561,PASS
Canny,scifitexture1.png,1920,1080,2073600,228.362691,9.080292,PASS
Sobel,glacier.png,1920,1080,2073600,32.344135,64.110541,PASS
Canny,glacier.png,1920,1080,2073600,213.163889,9.727726,PASS
Sobel,12.png,1920,1080,2073600,47.769191,43.408732,PASS
Canny,12.png,1920,1080,2073600,272.239622,7.616819,PASS
Sobel,wood.png,1920,1080,2073600,49.209316,42.138363,PASS
Canny,wood.png,1920,1080,2073600,250.918967,8.264023,PASS
Sobel,gasescomposite.png,1920,1080,2073600,32.411599,63.977097,PASS
Canny,gasescomposite.png,1920,1080,2073600,200.165550,10.359425,PASS
Sobel,nebula2composite.png,1920,1080,2073600,28.551352,72.627034,PASS
Canny,nebula2composite.png,1920,1080,2073600,197.033853,10.524080,FAIL
Sobel,chess2.png,1920,1080,2073600,44.508834,46.588504,PASS
Canny,chess2.png,1920,1080,2073600,243.944400,8.500298,PASS
Sobel,blackholex1.png,1920,1080,2073600,38.120498,54.395932,PASS
Canny,blackholex1.png,1920,1080,2073600,234.300437,8.850176,PASS
Sobel,landscapex.png,1920,1080,2073600,63.521166,32.644237,PASS
Canny,landscapex.png,1920,1080,2073600,300.109552,6.909477,PASS
Sobel,Jupyter3_og.png,1920,1080,2073600,49.041545,42.282518,PASS
Canny,Jupyter3_og.png,1920,1080,2073600,240.745871,8.613232,PASS
Sobel,bugattiinthesnowtest.png,1920,1080,2073600,41.743626,49.674650,PASS
Canny,bugattiinthesnowtest.png,1920,1080,2073600,229.356470,9.040948,PASS
Sobel,Curve 2.png,1920,1080,2073600,40.725248,50.916817,PASS
Canny,Curve 2.png,1920,1080,2073600,162.948922,12.725460,PASS
Sobel,3.png,1920,1080,2073600,28.031105,73.974965,PASS
Canny,3.png,1920,1080,2073600,187.664585,11.049501,PASS
Sobel,blackhole3.png,1920,1080,2073600,52.658509,39.378251,PASS
Canny,blackhole3.png,1920,1080,2073600,301.055064,6.887777,PASS
Sobel,14.png,1920,1080,2073600,43.218660,47.979276,PASS
Canny,14.png,1920,1080,2073600,313.591641,6.612421,PASS
Sobel,lambogold.png,1920,1080,2073600,38.303153,54.136535,PASS
Canny,lambogold.png,1920,1080,2073600,175.528939,11.813437,PASS
Sobel,godrays.png,1920,1080,2073600,26.695474,77.676088,PASS
Canny,godrays.png,1920,1080,2073600,164.493658,12.605957,PASS
Sobel,mandelbulb2.png,1920,1080,2073600,30.739439,67.457314,PASS
Canny,mandelbulb2.png,1920,1080,2073600,242.724366,8.543024,PASS
Sobel,skyscrapercomposited3.png,1080,1920,2073600,31.736954,65.337083,PASS
Canny,skyscrapercomposited3.png,1080,1920,2073600,185.706427,11.166011,PASS
Sobel,19.png,1920,1080,2073600,27.175680,76.303518,PASS
Canny,19.png,1920,1080,2073600,196.014549,10.578807,PASS
Sobel,bugatti.png,1920,1080,2073600,35.233030,58.853865,PASS
Canny,bugatti.png,1920,1080,2073600,190.521276,10.883824,PASS
Sobel,lamboimproved.png,1920,1080,2073600,30.437196,68.127169,PASS
Canny,lamboimproved.png,1920,1080,2073600,158.449325,13.086834,FAIL
Sobel,landscapegrcomposite.png,1920,1080,2073600,31.778493,65.251678,PASS
Canny,landscapegrcomposite.png,1920,1080,2073600,182.425608,11.366825,FAIL
Sobel,13.png,1920,1080,2073600,27.406264,75.661535,PASS
Canny,13.png,1920,1080,2073600,203.267471,10.201337,PASS
Sobel,5.png,1920,1080,2073600,28.991939,71.523329,PASS
Canny,5.png,1920,1080,2073600,187.717591,11.046381,PASS
Sobel,Gold2.png,1920,1080,2073600,33.532856,61.837858,PASS
Canny,Gold2.png,1920,1080,2073600,216.232144,9.589694,PASS
Sobel,Mirrors1.png,1920,1080,2073600,42.299165,49.022244,PASS
Canny,Mirrors1.png,1920,1080,2073600,227.071051,9.131943,PASS
Sobel,tree_fractal.png,1920,1080,2073600,31.548962,65.726410,PASS
Canny,tree_fractal.png,1920,1080,2073600,169.671106,12.221291,PASS
Sobel,scifitexture2.png,1920,1080,2073600,29.457186,70.393689,PASS
Canny,scifitexture2.png,1920,1080,2073600,219.603999,9.442451,PASS
Sobel,Jupyter.png,1920,1080,2073600,39.588744,52.378525,PASS
Canny,Jupyter.png,1920,1080,2073600,196.123514,10.572929,PASS
Sobel,iba.png,1920,1080,2073600,32.083223,64.631911,PASS
Canny,iba.png,1920,1080,2073600,213.338058,9.719785,PASS
Sobel,Mirrors2.png,1920,1080,2073600,34.793060,59.598092,PASS
Canny,Mirrors2.png,1920,1080,2073600,239.695232,8.650986,PASS
Sobel,Curve 1.png,1920,1080,2073600,31.780638,65.247274,PASS
Canny,Curve 1.png,1920,1080,2073600,187.951397,11.032639,PASS
Sobel,logo.png,1920,1080,2073600,41.212631,50.314672,PASS
Canny,logo.png,1920,1080,2073600,262.361513,7.903598,PASS
Sobel,deathlyhallows1.png,1920,1080,2073600,40.220373,51.555961,PASS
Canny,deathlyhallows1.png,1920,1080,2073600,238.796128,8.683558,FAIL
Sobel,LOGO2.png,1920,1080,2073600,45.065023,46.013513,PASS
Canny,LOGO2.png,1920,1080,2073600,270.585082,7.663394,PASS
Sobel,landscapegr.png,1920,1080,2073600,43.613045,47.545408,PASS
Canny,landscapegr.png,1920,1080,2073600,309.067715,6.709209,FAIL
Sobel,anotherblackholecloseup.png,1920,1080,2073600,34.325850,60.409283,PASS
Canny,anotherblackholecloseup.png,1920,1080,2073600,226.590222,9.151322,PASS
Sobel,watersuncomposite2.png,1920,1080,2073600,28.613267,72.469879,PASS
Canny,watersuncomposite2.png,1920,1080,2073600,193.785427,10.700495,PASS
Sobel,skyscrapercomposited1.png,1080,1920,2073600,27.412579,75.644105,PASS
Canny,skyscrapercomposited1.png,1080,1920,2073600,184.727029,11.225212,PASS
Sobel,scifimaterial.png,1920,1080,2073600,28.271074,73.347054,PASS
Canny,scifimaterial.png,1920,1080,2073600,199.870613,10.374712,PASS
Sobel,18.png,1920,1080,2073600,37.793115,54.867137,PASS
Canny,18.png,1920,1080,2073600,228.339070,9.081232,PASS
Sobel,Wormholeside.png,1920,1080,2073600,50.692552,40.905417,PASS
